tic,settledate,cret,car,bhar,number,classend,ceyr,month,gap,lgap,settleamt,year,styr,gvkey,date,fyear_st,at_st,capx_st,ceq_st,dltt_st,dp_st,dt_st,ebit_st,revt_st,setp_st,txpd_st,wcap,xintd_st,mkvalt_st,sic,f_month,wcap_1_st,dwcap_st,ebit_1_st,fcf_st,fcf_1_st,size_st,debtratio_st,M2B_st,classification,Accounting,Secondary Market & Trading,Financial Intermediatary,Non-Accounting disclsoure and misrepresentation,Others,fyear_ce,at_ce,capx_ce,ceq_ce,dltt_ce,dp_ce,dt_ce,ebit_ce,revt_ce,setp_ce,txpd_ce,wcap_ce,xintd_ce,mkvalt_ce,wcap_1_ce,dwcap_ce,ebit_1_ce,fcf_ce,fcf_1_ce,size_ce,debtratio_ce,M2B_ce,PRC,VOL,SHROUT,sprtrn,vt,share turnover,abnormal volume,abnormal share turnover,skewness
IBM,2008-05-30,-0.43481320000000007,-0.7753369999999999,-0.8640540000000001,103474,2005-04-15,2005,5,1141,7.039660499999999,20.0,2008,2008,6066.0,2008-12-31,2008.0,109524.0,4171.0,13465.0,22689.0,5450.0,31631.0,16750.0,103630.0,,2111.0,6569.0,,112698.3194,7370.0,12.0,8867.0,-2298.0,14360.0,18216.0,8025.0,11.603898982304877,0.20716007450421825,1.0289828658558855,ACCOUNTING AND INSIDER TRADING,1,1,0,0,0,2005.0,105748.0,3842.0,33098.0,15425.0,5188.0,18413.0,11714.0,91134.0,775.0,1994.0,10509.0,,129381.156,7172.0,3337.0,11848.0,7729.0,,11.568814184200127,0.14586564284903733,1.2234856072928093,129.42999,8652900.0,1373479.0,0.1516,8709979.166666666,6.341545205035291,-57079.166666666046,-0.0415580920179093,0
AAPL,2010-09-28,4.57388488,1.09210987,1.03675607,103658,2006-08-11,2006,9,1509,7.319202400000001,16.5,2010,2010,1690.0,2010-09-30,2010.0,75183.0,2005.0,47791.0,0.0,932.0,,18385.0,65225.0,,2697.0,20956.0,0.0,259906.4875,3663.0,9.0,20049.0,907.0,11740.0,13708.0,8832.0,11.227680420551863,0.0,3.456984790444648,ACCOUNTING (OPTION DATING),1,0,0,0,0,2006.0,17205.0,657.0,9984.0,0.0,209.8,,2453.0,19315.0,,194.0,8038.0,0.0,65838.1457,6816.0,1222.0,1650.0,589.8000000000002,-902.3,9.752955318231582,0.0,3.826686759662888,286.85999,38283236.0,915970.0,0.485,24323444.816666666,26.554848757783187,13959791.183333334,15.24044584793534,0
BPOP,2011-06-17,-2.5925901,0.34240082,0.20712207,104312,2009-01-22,2009,6,876,6.7753663,37.5,2011,2011,2002.0,2011-12-31,2011.0,37348.432,,3868.593,2709.46,56.1,,,2497.778,,,,180.764,1426.0079999999996,6020.0,12.0,,,146.09,,,10.528046208421358,0.07254548196293756,0.03818120128845034,CREDIT CRISIS (FINANCIAL INSTITUTION),0,0,1,0,0,2009.0,34736.325,,2488.657,3415.111,106.893,,,2751.498,,,,183.125,1445.3604,,,140.624,,,10.455541248361728,0.09831526507193837,0.04160947941384128,2.82,5504838.0,1023553.0,0.3045,9647028.4,9.42504042291899,-4142190.4000000004,-4.046874368010255,0
CVS,2005-06-06,6.29090741,7.15567725,7.259314929999999,102030,2001-06-27,2001,6,1440,7.2723985,110.0,2005,2005,7241.0,2005-12-31,2005.0,15283.4,1495.4,8222.6,1594.1,589.1,1935.7,2019.5,37006.2,,591.0,3808.8,,21514.0174,5912.0,12.0,3060.7,748.1000000000003,1454.7,-225.90000000000055,12624.899999999998,9.63452255105715,0.10430270751272623,1.4076722064462095,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,58.06,3234700.0,405028.0,0.12460000000000002,2111646.6666666665,5.21358194166,1123053.3333333335,2.772779495080176,0
BMY,2006-03-02,-0.606583,-0.17888729999999994,-0.22557310000000003,101412,2000-04-19,2000,3,2143,7.6699619,185.0,2006,2006,2403.0,2006-12-31,2006.0,25575.0,785.0,9991.0,7248.0,927.0,7248.0,2680.0,17914.0,-326.0,741.0,3806.0,,51771.44,2834.0,12.0,5393.0,-1587.0,4015.0,3668.0,2215.0,10.149370590819828,0.2834017595307918,2.0242987292277617,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,22.75,5165400.0,1956521.0,-0.1626,8359535.833333333,4.272653262261603,-3194135.833333333,-1.6325589315592999,0
BMY,2009-08-18,4.832034900000001,2.29895314,2.38382244,103782,2006-08-08,2006,8,1106,7.0085053,125.0,2009,2009,2403.0,2009-12-31,2009.0,31008.0,730.0,14843.0,6130.0,647.0,6278.0,5266.0,18808.0,-132.0,885.0,7645.0,,43278.5,2834.0,12.0,8053.0,-408.0,4424.0,4706.0,-2690.0,10.342000514690492,0.19769091847265224,1.395720459236326,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2006.0,25575.0,785.0,9991.0,7248.0,927.0,7248.0,2680.0,17914.0,-326.0,741.0,3806.0,,51771.44,5393.0,-1587.0,4015.0,3668.0,2215.0,10.149370590819828,0.2834017595307918,2.0242987292277617,21.77,9571300.0,1980925.0,1.0146,14387455.833333334,7.262998767410848,-4816155.833333334,-2.4312661172600345,0
LMT,2013-02-15,2.83875359,4.12389104,4.13766224,104750,2009-07-21,2009,2,1305,7.1739583,19.5,2013,2013,6774.0,2013-12-31,2013.0,36188.0,836.0,4918.0,6152.0,942.0,6152.0,4583.0,45358.0,,787.0,2209.0,,47422.54,3760.0,12.0,1700.0,509.0,4244.0,3393.0,3608.0,10.496482851145633,0.17000110533878635,1.3104493202166465,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2009.0,35111.0,852.0,4129.0,5052.0,1006.0,5052.0,4224.0,45189.0,,986.0,1774.0,,28105.55,141.0,1633.0,4649.0,1759.0,4262.0,10.46626975067086,0.14388653128649145,0.8004770584717041,87.87,2564600.0,323587.0,-0.1045,1780821.6666666667,5.503378277454492,783778.3333333333,2.422156431912695,0
NEM,2006-10-20,8.27552947,22.42343913,21.66203908,103454,2005-04-26,2005,10,542,6.2952662,15.0,2006,2006,7881.0,2006-12-31,2006.0,15601.0,1551.0,9337.0,1752.0,636.0,1911.0,1271.0,4987.0,-21.538,403.0,903.0,,19202.3631,1040.0,12.0,1686.0,-783.0,977.0,736.0,33.144000000000005,9.65509029374725,0.11230049355810524,1.2308418114223447,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2005.0,13992.0,1226.0,8376.0,1733.0,644.0,1929.0,977.0,4406.0,-27.692,296.0,1686.0,,22412.0666,1620.144,65.85600000000001,1208.302,33.144000000000005,-388.05800000000005,9.546241016698438,0.12385648942252715,1.6017772012578615,42.46,5907700.0,420917.0,0.12,7178907.5,17.055399282994035,-1271207.5,-3.020090659203596,0
CMS,2007-05-22,-0.4364426,-2.7371839,-2.8294947999999995,102429,2002-05-10,2002,5,1838,7.5164332,200.0,2007,2007,3439.0,2007-12-31,2007.0,14196.0,1263.0,2130.0,5788.0,540.0,,-39.0,6464.0,,14.0,407.0,396.0,3912.238,4931.0,12.0,987.0,-580.0,1.0,-196.0,706.0,9.560715513766386,0.4077204846435616,0.27558734854888695,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,18.84,1821900.0,224177.0,-0.0643,2054000.0666666667,9.162403220074614,-232100.06666666665,-1.0353429061262602,0
TXT,2006-02-21,6.882300099999998,3.60359278,3.74925079,102409,2001-09-26,2001,2,1609,7.383367999999999,7.0,2006,2006,10519.0,2006-12-31,2006.0,17550.0,431.0,2639.0,5685.0,290.0,6842.0,1413.0,11490.0,,175.0,,,11777.1369,3721.0,12.0,,,1146.0,,,9.772809228894012,0.32393162393162395,0.6710619316239316,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,85.17,563900.0,132372.0,-0.3271,809715.8333333334,6.116972118977831,-245815.83333333337,-1.857007776065432,0
XEL,2005-01-14,1.80281515,2.47395926,2.46571774,102526,2002-07-26,2002,1,903,6.8057227,80.0,2005,2005,7977.0,2005-12-31,2005.0,21648.316000000006,1289.817,5395.255,5897.789000000002,767.321,,1092.719,9625.477,,10.625,-530.965,,7446.524,4931.0,12.0,235.246,-766.211,1090.841,1325.8090000000002,234.98999999999972,9.98268294749546,0.2724363871998173,0.3439770557672938,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,17.95,1356300.0,400340.0,0.6005,1026469.1666666666,2.5639935221728196,329830.8333333334,0.8238767880634795,0
WR,2005-05-31,3.49611892,-4.1528146,-4.4018505,102675,2002-12-26,2002,5,887,6.7878451,30.0,2005,2005,6338.0,2005-12-31,2005.0,5210.069,212.814,1416.003,1562.99,150.52,,300.728,1583.2779999999998,,0.772,-74.447,107.8,1866.9525,4931.0,12.0,-2.634,-71.813,289.891,309.475,3963.445,8.558348378421709,0.2999941075636426,0.35833546542281874,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,23.07,487400.0,86620.0,-0.6073,368735.8333333333,4.256936427307012,118664.16666666669,1.3699395828523053,0
DQE,2005-07-15,1.26849796,0.6347516700000001,0.6150492599999999,102070,2001-04-30,2001,7,1537,7.3375878,12.0,2005,2005,4103.0,2005-12-31,2005.0,2820.6,135.9,655.9,957.8,82.3,,178.3,922.2,,34.7,-24.6,,1272.8621,4911.0,12.0,10.6,-35.2,159.0,125.20000000000002,778.807,7.9447049072581395,0.3395731404665674,0.4512735233638233,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,19.01,280700.0,77543.0,0.1158,359256.6666666667,4.632999325105641,-78556.66666666669,-1.0130723168650515,0
ILA,2005-11-18,1.13959983,2.52255852,2.46073002,102427,2001-12-03,2001,11,1446,7.2765565,1.0,2005,2005,11056.0,2005-12-31,2005.0,4630.7,228.9,1309.9,1891.2,106.4,,-6.9,1314.2,,28.8,349.5,,1344.9708,4931.0,12.0,694.4,-344.9,-137.0,186.7,-2084.6,8.440463323557507,0.4084047768156003,0.29044654155959143,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,3.49,1038600.0,373270.0,0.44009999999999994,1910729.1666666667,5.118892937194703,-872129.1666666667,-2.3364566310356225,0
IRF,2009-09-25,-0.0997435,-10.8711923,-11.3294253,103745,2007-04-09,2007,9,900,6.8023949,90.0,2009,2009,6109.0,2009-06-30,2009.0,1401.307,20.793000000000006,1135.252,0.0,68.411,,-105.131,721.7189999999998,-45.0,7.791,552.844,0.0,1054.3535,3674.0,6.0,517.61,35.23400000000004,-80.813,-100.53800000000004,-182.80800000000005,7.245160651525144,0.0,0.7524072169767224,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2008.0,1874.912,41.78,1450.951,0.0,87.59,,-80.813,984.83,,92.192,517.61,,1398.2592,461.997,55.61300000000006,124.587,-182.80800000000005,415.47800000000007,7.536317003969773,0.0,0.7457732416241402,18.93,634600.0,71215.0,-0.6091,676918.3333333334,9.505277446230897,-42318.33333333337,-0.5942334246062398,0
XRX,2008-03-27,5.38308441,-1.9029171000000003,-2.0368254,101711,2000-07-27,2000,3,2800,7.9373746,670.0,2008,2008,11636.0,2008-12-31,2008.0,22447.0,206.0,6238.0,7422.0,663.0,8971.0,1727.0,17608.0,-774.0,194.0,2700.0,,6892.2727,7374.0,12.0,4463.0,-1763.0,2001.0,3753.0,1907.0,10.018912253951546,0.3306455205595403,0.3070464961910277,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,14.97,6742000.0,917568.0,-1.146,5194575.1,5.661242654495362,1547424.9000000004,1.6864416588198372,0
FLS,2009-12-18,0.54685156,-6.2604885,-6.5496981,102861,2002-09-27,2002,12,2639,7.878155199999999,55.0,2009,2009,4108.0,2009-12-31,2009.0,4248.894,108.448,1796.1129999999996,539.373,95.257,566.7280000000002,684.88,4365.262,-7.5,38.067,1041.239,,5194.9907,3561.0,12.0,724.429,316.81000000000006,595.909,316.8119999999999,358.298,8.354413992757268,0.12694432951257434,1.2226689345509678,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,97.3,907200.0,55849.0,0.583,997813.3333333334,17.866270359958698,-90613.33333333337,-1.622470112863854,0
WFT,2014-01-29,-6.0668052,4.44920551,3.99242677,104656,2011-03-01,2011,1,1065,6.9707303,52.5,2014,2014,4367.0,2014-12-31,2014.0,18889.0,1450.0,6958.0,6798.0,1371.0,6848.0,1134.0,14911.0,,386.0,3917.0,,8862.3,1381.0,12.0,3075.0,842.0,615.0,-173.0,244.0,9.846335021031821,0.3598920006352904,0.4691778283657155,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2011.0,21051.0,1524.0,9324.0,6286.0,1137.0,6595.0,1470.0,12988.0,,291.0,3448.0,,10965.36,3909.088,-461.0879999999997,976.092,1253.0879999999995,130.909,9.954703343920398,0.2986081421310152,0.5208949693601255,13.82,15031500.0,769395.0,-1.0209000000000001,6945516.666666667,9.027244349997943,8085983.333333333,10.509534547707398,0
NR,2007-07-27,-33.5044946,-21.1168905,-16.2773369,103607,2006-04-16,2006,7,467,6.1463294,9.24,2007,2007,7882.0,2007-12-31,2007.0,641.779,17.035999999999998,360.664,158.616,19.285,177.47799999999995,57.512,612.764,-1.6,,282.9,,491.6772,5160.0,12.0,217.723,65.17699999999999,67.031,,-0.9720000000000012,6.464244007666763,0.2471504988477342,0.7661160617595777,ACCOUNTING (OPTION DATING IN THE AMENDED COMPLAINT),1,0,0,0,0,2006.0,627.669,36.391,323.143,198.186,25.449,213.332,67.031,668.199,5.174,3.846,217.723,,646.5568,164.50799999999995,53.215,48.067,-0.9720000000000012,19.270000000000017,6.442012957454254,0.31574922451164544,1.030091975228982,6.71,412000.0,89903.0,-1.5992,587809.1333333333,6.538259383261218,-175809.1333333333,-1.955542455016332,0
FITB,2012-12-20,9.06613366,4.79963002,5.07572639,104051,2008-06-17,2008,12,1647,7.4067106,16.0,2012,2012,4640.0,2012-12-31,2012.0,121894.0,,13318.0,5808.0,432.0,,,6834.0,,,,287.0,13408.7104,6020.0,12.0,,,2982.0,,,11.710907093585305,0.047647956421152805,0.11000303870576074,CREDIT CRISIS (FINANCIAL INSTITUTION),0,0,1,0,0,2008.0,119764.0,,7836.0,10785.0,,,,8539.0,,,,557.0,4769.2166,,,2924.0,,,11.69327841866934,0.09005210246818744,0.039821787849437226,15.14,8786109.0,897467.0,0.5488,9425076.641666668,10.501864293246067,-638967.6416666675,-0.7119678402288525,0
PLL,2012-04-26,-2.6743576,3.3030558199999995,3.1600888100000004,103800,2007-08-02,2007,4,1729,7.455298399999998,22.5,2012,2012,8304.0,2012-07-31,2012.0,3347.8920000000007,158.909,1510.035,490.706,103.387,491.159,453.945,2671.656,,90.806,1000.329,,6098.7811,3569.0,7.0,1019.201,-18.872000000000067,472.266,326.4890000000001,362.7789999999997,8.116086173024549,0.14657163373250987,1.82167796930128,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2007.0,2708.8459999999995,97.763,1060.601,591.591,93.977,593.362,313.796,2249.905,,48.825,774.187,,5088.1099,846.165,-71.97799999999995,247.346,333.1629999999999,39.39200000000002,7.9042779929239915,0.21839226002511772,1.8783311786642733,59.45,583800.0,115799.0,0.6679999999999999,911650.8333333334,7.8727003975279,-327850.8333333334,-2.831206084105505,0
TE,2007-06-28,-0.35087399999999996,5.97952204,5.805869809999999,103221,2003-02-04,2003,6,1605,7.380878900000001,17.35,2007,2007,10277.0,2007-12-31,2007.0,6765.2,489.9,2017.0,3158.4,263.7,,415.3,3536.1,,-10.5,172.2,,3629.589,4931.0,12.0,-64.7,236.9,397.5,-37.29999999999996,627.3,8.819547104099886,0.4668598119789512,0.5365087506651689,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,17.0,1114141.0,209621.0,-0.0418,1035031.9666666667,4.937634906171932,79109.03333333333,0.37739078304813606,0
BEN,2011-06-09,-1.9248993,2.03010586,1.92115803,102988,2004-02-04,2004,6,2682,7.8943181,2.75,2011,2011,4885.0,2011-09-30,2011.0,13775.843,,8524.731,2083.926,82.4,,,7138.566999999999,,,,,,6282.0,9.0,,,1960.575,,,9.530671829970746,0.15127393655691346,,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),0,1,0,0,0,2004.0,8228.135,,5106.7840000000015,1161.413,79.153,,,3527.239,,,,,13922.1568,2613.043,,361.319,,-314.7599999999996,9.01531465802765,0.1411514273890742,1.6920185193850126,123.47,795800.0,221872.0,0.7378,976294.1666666666,4.400258557486599,-180494.16666666663,-0.8135058351962692,0
WMB,2006-10-05,8.56890694,2.78693562,2.7706668999999997,102331,2002-01-29,2002,10,1710,7.444248700000001,290.0,2006,2006,11506.0,2006-12-31,2006.0,25402.4,2509.2,6073.2,7622.0,865.5,8014.1,1233.2,11812.9,-246.8,79.0,1628.4,,15596.252,4922.0,12.0,1247.1,381.3000000000001,1269.6,-870.8,131.20000000000005,10.142598936731877,0.3000503889396277,0.6139676565993765,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,23.68,6345600.0,595800.0,0.2222,4363300.833333333,7.32343208011637,1982299.166666667,3.32712179702361,0
S,2010-10-14,3.26087197,1.34091176,1.21943347,103347,2004-11-16,2004,10,2158,7.6769371,0.55,2010,2010,10984.0,2010-12-31,2010.0,51654.0,1935.0,14546.0,18535.0,6248.0,20191.0,-615.0,32563.0,,-139.0,1989.0,,12491.19,4812.0,12.0,1808.0,181.0,-1044.0,3656.0,4980.0,10.852322915886008,0.35882990668680065,0.2418242536880009,FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0,2004.0,41321.0,3980.0,13521.0,15916.0,4720.0,17204.0,3414.0,27428.0,14.0,-39.0,3073.0,,36648.78,-7067.0,10140.0,10274.0,-5947.0,,10.629126124296002,0.3851794487064689,0.8869286803320345,4.56,27806800.0,2949525.0,-0.3641,56513708.333333336,19.160274394464647,-28706908.333333336,-9.73272250051562,0
S,2006-09-14,0.79486231,17.02230358,15.917315810000002,102590,2002-10-17,2002,9,1428,7.26403,215.0,2006,2006,10984.0,2006-12-31,2006.0,97161.0,7556.0,53131.0,21011.0,9592.0,22154.0,3104.0,41028.0,,247.0,506.0,,54724.33,4812.0,12.0,5042.0,-4536.0,4670.0,9429.0,3775.0,11.484124675364502,0.2162493181420529,0.5632334990376797,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,17.03,13472400.0,2870000.0,-0.1358,17214710.833333332,5.9981570847851335,-3742310.833333332,-1.3039410569105687,0
