tic,settledate,cret_st,car_st,bhar_st,number,classend,ceyr,month,gap,lgap,settlefund,year,styr,gvkey,date,fyear_st,at_st,capx_st,ceq_st,dltt_st,dp_st,dt_st,ebit_st,revt_st,setp_st,txpd_st,wcap,xintd_st,mkvalt_st,sic,f_month,wcap_1_st,dwcap_st,ebit_1_st,fcf_st,fcf_1_st,size_st,debtratio_st,m2b_st,classification,accounting,secondary market & trading,financial intermediatary,non-accounting disclsoure and misrepresentation,others,fyear_ce,at_ce,capx_ce,ceq_ce,dltt_ce,dp_ce,dt_ce,ebit_ce,revt_ce,setp_ce,txpd_ce,wcap_ce,xintd_ce,mkvalt_ce,wcap_1_ce,dwcap_ce,ebit_1_ce,fcf_ce,fcf_1_ce,size_ce,debtratio_ce,m2b_ce,prc,vol,shrout,sprtrn,vt,shto,abnormal volume,abshto,skewness,news_st,news_ce,news_winner_st,news_winner_ce,confounding,inst_hhi,inst_pct,cret_ce,car_ce,bhar_ce,financial market,operation and others,other industry,manufacture,tmt,trade,financial service,service,stfundpct,stfundpct1,stfundpct2,stfundpct3,stfundpct4,stfundpct5
BPOP,6/17/2011,-259.25901000000005,34.240082,20.712207,104312,2009-01-22,2009,6,29.2,6.7753663,37.5,2011,2011,2002,12/31/2011,2011,37348.432,0.0,3868.593,7.9045046320258185,56.1,0.0,0.0,2497.778,0.0,0.0,0.0,180.764,1426.0079999999998,6020,12,0.0,0.0,146.09,0.0,0.0,7.262634211056682,0.07254548200000001,0.038181201,CREDIT CRISIS (FINANCIAL INSTITUTION),0,0,1,0,0,2009,34736.325,0.0,2488.657,8.13596527513698,106.89299999999999,0.0,0.0,2751.498,0.0,0.0,0.0,183.125,1445.3604,0.0,0.0,140.624,0.0,0.0,7.276113981213295,0.098315265,0.041609479,2.82,5504838,1023553,0.3045,9647028.4,9.425040422999999,-4142190.4,-4.046874368,0,2.0,8.0,0,0,0,3.662556,71.0301297,-4884.16918,-3196.87043,-3879.22703,1,0,0,0,0,0,1,0,0.0,0.01501334386002279,-37.5,0.0010040582158844045,0.0,0.00022540049385928398
CVS,6/6/2005,629.090741,715.567725,725.931493,102030,2001-06-27,2001,6,48.0,7.2723985,110.0,2005,2005,7241,12/31/2005,2005,15283.4,1495.4,8222.6,7.374064592639601,589.1,1935.7,2019.5,37006.2,0.0,591.0,3808.8,0.0,21514.0174,5912,12,3060.7,748.1,1454.7,-225.9,12624.9,9.976459973767305,0.10430270800000001,1.407672206,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.06,3234700,405028,0.1246,2111646.667,5.213581942,1123053.3329999999,2.772779495,0,0.0,0.0,0,0,0,3.6675601,81.8746327,-1966.3509699999997,-2170.56061,-2167.8288000000002,0,1,0,0,0,1,0,0,0.05446892795246348,0.0029724748825872426,1909.5,0.007197351374694113,0.0029668641122906577,8.835606927612042e-06
BMY,3/2/2006,-60.6583,-17.888729999999995,-22.55731,101412,2000-04-19,2000,3,71.43333333333334,7.6699619000000006,185.0,2006,2006,2403,12/31/2006,2006,25575.0,785.0,9991.0,8.888480847722816,927.0,7248.0,2680.0,17914.0,-326.0,741.0,3806.0,0.0,51771.44,2834,12,5393.0,-1587.0,4015.0,3668.0,2215.0,10.854593924846176,0.28340176,2.024298729,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,5165400,1956521,-0.1626,8359535.833,4.2726532619999995,-3194135.833,-1.6325589319999998,0,40.0,41.0,1,1,0,3.8409218999999997,68.52280490000001,-1344.5377899999999,-604.1990599999999,-673.3758700000001,0,1,0,1,0,0,0,0,0.06902985074626866,0.01032711845483979,2495.0,0.007233626588465298,0.004765120294052128,0.00010664937558029259
BMY,8/18/2009,483.20349,229.895314,238.382244,103782,2006-08-08,2006,8,36.86666666666667,7.0085053,125.0,2009,2009,2403,12/31/2009,2009,31008.0,730.0,14843.0,8.720950028930258,647.0,6278.0,5266.0,18808.0,-132.0,885.0,7645.0,0.0,43278.5,2834,12,8053.0,-408.0,4424.0,4706.0,-2690.0,10.675411254879094,0.19769091800000002,1.395720459,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2006,25575.0,785.0,9991.0,8.888480847722816,927.0,7248.0,2680.0,17914.0,-326.0,741.0,3806.0,0.0,51771.44,5393.0,-1587.0,4015.0,3668.0,2215.0,10.854593924846176,0.28340176,2.024298729,21.77,9571300,1980925,1.0146,14387455.83,7.262998767000001,-4816155.833000001,-2.431266117,0,20.0,48.0,1,1,0,2.660688,69.6335305,-1064.8923300000001,-1910.3161499999999,-1924.5894300000002,0,0,0,1,0,0,0,0,0.02373718192176225,0.006646108039132284,5141.0,0.004031217750257998,0.0005634538055868366,4.4170752067818766e-05
LMT,2/15/2013,283.875359,412.38910400000003,413.766224,104750,2009-07-21,2009,2,43.5,7.1739583,19.5,2013,2013,6774,12/31/2013,2013,36188.0,836.0,4918.0,8.72453251118548,942.0,6152.0,4583.0,45358.0,0.0,787.0,2209.0,0.0,47422.54,3760,12,1700.0,509.0,4244.0,3393.0,3608.0,10.766852922081991,0.170001105,1.31044932,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2009,35111.0,852.0,4129.0,8.527539483470381,1006.0,5052.0,4224.0,45189.0,0.0,986.0,1774.0,0.0,28105.55,141.0,1633.0,4649.0,1759.0,4262.0,10.24372234471632,0.14388653099999998,0.800477058,87.87,2564600,323587,-0.1045,1780821.667,5.503378277,783778.3333,2.422156432,0,25.0,46.0,1,1,0,8.8591304,83.1707037,-463.71965,-999.28303,-1045.8908999999999,0,1,0,1,0,0,0,0,0.004254854898538075,0.00042991313549980157,4563.5,0.0005388526583397812,1.8103790207613454e-05,1.8482530407527074e-07
NEM,10/20/2006,827.552947,2242.3439129999997,2166.203908,103454,2005-04-26,2005,10,18.066666666666666,6.2952662,15.0,2006,2006,7881,12/31/2006,2006,15601.0,1551.0,9337.0,7.468513271496337,636.0,1911.0,1271.0,4987.0,-21.538,403.0,903.0,0.0,19202.3631,1040,12,1686.0,-783.0,977.0,736.0,33.144,9.862788628567381,0.112300494,1.230841811,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2005,13992.0,1226.0,8376.0,7.457609289715606,644.0,1929.0,977.0,4406.0,-27.691999999999997,296.0,1686.0,0.0,22412.0666,1620.144,65.85600000000001,1208.302,33.144,-388.05800000000005,10.017354780303105,0.123856489,1.601777201,42.46,5907700,420917,0.12,7178907.5,17.05539928,-1271207.5,-3.0200906589999996,0,14.0,42.0,1,1,0,3.5095512,71.0092883,-432.72764000000006,48.27143,20.81145,0,1,1,0,0,0,0,0,0.011801730920535013,0.00300782033286545,1256.0,0.0009614768284084353,0.0001392808527207122,9.046983154798827e-06
CMS,5/22/2007,-43.644259999999996,-273.71839,-282.94947999999994,102429,2002-05-10,2002,5,61.266666666666666,7.5164332,200.0,2007,2007,3439,12/31/2007,2007,14196.0,1263.0,2130.0,8.663542087751374,540.0,0.0,-39.0,6464.0,0.0,14.0,407.0,396.0,3912.238,4931,12,987.0,-580.0,1.0,-196.0,706.0,8.271864867749933,0.407720485,0.275587349,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.84,1821900,224177,-0.0643,2054000.0669999998,9.16240322,-232100.0667,-1.035342906,0,6.0,9.0,1,0,0,3.4292958,93.06063759999999,-1076.50945,-391.41123,-620.0156,0,1,0,0,1,0,0,0,-5.128205128205129,0.03094059405940594,-239.0,0.014088475626937165,26.29848783694938,0.0009573203607489461
TXT,2/21/2006,688.2300099999999,360.359278,374.925079,102409,2001-09-26,2001,2,53.63333333333333,7.383367999999999,7.0,2006,2006,10519,12/31/2006,2006,17550.0,431.0,2639.0,8.645586406184636,290.0,6842.0,1413.0,11490.0,0.0,175.0,0.0,0.0,11777.1369,3721,12,0.0,0.0,1146.0,0.0,0.0,9.373915380126538,0.323931624,0.6710619320000001,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.17,563900,132372,-0.3271,809715.8333,6.116972119,-245815.8333,-1.8570077759999999,0,12.0,56.0,1,1,0,4.983474299999999,64.433149,-2747.3819700000004,-1952.56545,-1798.1812,0,0,0,1,0,0,0,0,0.004953998584571833,0.0006092254134029591,1406.0,0.0003988603988603989,2.4542101975939726e-05,3.7115560433600647e-07
XEL,1/14/2005,180.281515,247.395926,246.571774,102526,2002-07-26,2002,1,30.1,6.8057227,80.0,2005,2005,7977,12/31/2005,2005,21648.316000000003,1289.817,5395.255,8.682332813896359,767.321,0.0,1092.719,9625.476999999999,0.0,10.625,-530.965,0.0,7446.524,4931,12,235.24599999999998,-766.211,1090.8410000000001,1325.809,234.99,8.915502625311396,0.272436387,0.343977056,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.95,1356300,400340,0.6005,1026469.167,2.563993522,329830.8333,0.823876788,0,8.0,44.0,1,1,0,4.4120663,52.1801167,-4505.11902,-2054.13035,-2752.95635,0,0,0,0,1,0,0,0,0.07321186874210112,0.008311276417781685,1012.719,0.003695437557360119,0.005359977724710642,6.907731569277397e-05
WR,5/31/2005,349.61189199999995,-415.28146000000004,-440.18505,102675,2002-12-26,2002,5,29.566666666666666,6.7878451,30.0,2005,2005,6338,12/31/2005,2005,5210.069,212.81400000000002,1416.003,7.354355932448354,150.52,0.0,300.728,1583.2779999999998,0.0,0.772,-74.447,107.8,1866.9525,4931,12,-2.634,-71.813,289.89099999999996,309.475,3963.445,7.532062701332695,0.299994108,0.358335465,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07,487400,86620,-0.6073,368735.8333,4.256936427,118664.1667,1.369939583,0,4.0,17.0,1,1,0,3.1663384,64.61724670000001,-1210.24727,-2884.2813699999997,-2956.80685,0,0,0,0,1,0,0,0,0.09975792077890984,0.018948030604859036,270.728,0.005758081130979263,0.009951642758131252,0.00035902786380267467
DQE,7/15/2005,126.849796,63.475167,61.504926000000005,102070,2001-04-30,2001,7,51.233333333333334,7.3375878,12.0,2005,2005,4103,12/31/2005,2005,2820.6,135.9,655.9,6.864638987908509,82.3,0.0,178.3,922.2,0.0,34.7,-24.6,0.0,1272.8621,4911,12,10.6,-35.2,159.0,125.2,778.807,7.149023265902519,0.33957314,0.45127352299999995,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.01,280700,77543,0.1158,359256.6667,4.632999325,-78556.66667,-1.013072317,0,2.0,0.0,0,0,0,5.963693,59.39251899999999,-2934.0508999999997,-2920.8824699999996,-2711.17896,0,0,0,0,1,0,0,0,0.06730229949523275,0.013012361743656473,166.3,0.0042544139544777706,0.004529599517346007,0.00016932155814777453
ILA,11/18/2005,113.95998300000001,252.255852,246.07300200000003,102427,2001-12-03,2001,11,48.2,7.2765565,1.0,2005,2005,11056,12/31/2005,2005,4630.7,228.9,1309.9,7.544966827211779,106.4,0.0,-6.9,1314.2,0.0,28.8,349.5,0.0,1344.9708,4931,12,694.4,-344.9,-137.0,186.7,-2084.6,7.204127581763099,0.40840477700000005,0.290446542,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,1038600,373270,0.4401,1910729.167,5.118892937,-872129.1667,-2.336456631,0,2.0,14.0,0,1,0,4.5646295,73.11924690000001,-2005.08889,408.98969999999997,296.54200000000003,0,1,0,0,1,0,0,0,-0.14492753623188406,0.0007609191903819814,-7.9,0.00021595007234327424,0.02100399075824407,5.789980142915701e-07
IRF,9/25/2009,-9.97435,-1087.11923,-1132.94253,103745,2007-04-09,2007,9,30.0,6.8023949,90.0,2009,2009,6109,6/30/2009,2009,1401.307,20.793000000000003,1135.252,0.0,68.411,0.0,-105.131,721.7189999999999,-45.0,7.791,552.844,0.0,1054.3535,3674,6,517.61,35.234,-80.813,-100.538,-182.808,6.960683061865298,0.0,0.752407217,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2008,1874.912,41.78,1450.951,0.0,87.59,0.0,-80.813,984.83,0.0,92.19200000000001,517.61,0.0,1398.2592,461.99699999999996,55.613,124.587,-182.808,415.478,7.242983313333189,0.0,0.7457732420000001,18.93,634600,71215,-0.6091,676918.3333,9.505277446000001,-42318.33333,-0.594233425,0,0.0,0.0,0,0,0,5.3024512999999995,79.3193666,-713.7336499999999,-775.14296,-779.63541,0,0,0,1,0,0,0,0,-0.8560748019138028,0.12470227332244267,-195.131,0.06422575495590901,0.7328640664717567,0.015550656971785197
XRX,3/27/2008,538.308441,-190.29171000000002,-203.68254000000002,101711,2000-07-27,2000,3,93.33333333333333,7.9373746,670.0,2008,2008,11636,12/31/2008,2008,22447.0,206.0,6238.0,8.912203841620542,663.0,8971.0,1727.0,17608.0,-774.0,194.0,2700.0,0.0,6892.2727,7374,12,4463.0,-1763.0,2001.0,3753.0,1907.0,8.838156164479669,0.330645521,0.307046496,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.97,6742000,917568,-1.146,5194575.1,5.661242654,1547424.9,1.686441659,0,22.0,49.0,1,1,0,4.8523068,83.2387059,-1918.2389800000003,-377.26359,-442.28124,0,0,0,0,0,0,0,1,0.38795599305153444,0.03805088596092685,1057.0,0.029848086604000533,0.15050985254460225,0.0014478699224114602
FLS,12/18/2009,54.685156,-626.04885,-654.9698099999999,102861,2002-09-27,2002,12,87.96666666666667,7.878155199999999,55.0,2009,2009,4108,12/31/2009,2009,4248.894,108.448,1796.1129999999998,6.290407353835453,95.257,566.7280000000001,684.88,4365.262,-7.5,38.067,1041.239,0.0,5194.9907,3561,12,724.429,316.81,595.909,316.812,358.298,8.555450113348858,0.12694433,1.222668935,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3,907200,55849,0.583,997813.3333,17.86627036,-90613.33333,-1.622470113,0,1.0,9.0,0,0,0,2.4966194,89.2663186,-4835.82125,-4351.91849,-3846.31403,0,0,0,1,0,0,0,0,0.08030603901413386,0.012599472838056456,629.88,0.012944545098089054,0.006449059902139589,0.00015874671579692241
