tic,settledate,cret_st,car_st,bhar_st,number,classend,ceyr,month,gap,lgap,settleamt,year,styr,gvkey,date,fyear_st,at_st,capx_st,ceq_st,dltt_st,dp_st,dt_st,ebit_st,revt_st,setp_st,txpd_st,wcap,xintd_st,mkvalt_st,sic,f_month,wcap_1_st,dwcap_st,ebit_1_st,fcf_st,fcf_1_st,size_st,debtratio_st,m2b_st,classification,accounting,secondary market & trading,financial intermediatary,non-accounting disclsoure and misrepresentation,others,fyear_ce,at_ce,capx_ce,ceq_ce,dltt_ce,dp_ce,dt_ce,ebit_ce,revt_ce,setp_ce,txpd_ce,wcap_ce,xintd_ce,mkvalt_ce,wcap_1_ce,dwcap_ce,ebit_1_ce,fcf_ce,fcf_1_ce,size_ce,debtratio_ce,m2b_ce,prc,vol,shrout,sprtrn,vt,share turnover,abnormal volume,abnormal share turnover,skewness,news_st,news_ce,news_winner_st,news_winner_ce,confounding,inst_hhi,inst_pct
BPOP,6/17/2011,-2.5925901,0.34240082,0.20712207,104312,1/22/2009,2009,6,876,6.7753663,37.5,2011,2011,2002,12/31/2011,2011,37348.432,0,3868.593,2709.46,56.1,0,0,2497.778,0,0,0,180.764,1426.008,6020,12,0,0,146.09,0,0,10.52804621,0.072545482,0.038181201,CREDIT CRISIS (FINANCIAL INSTITUTION),0,0,1,0,0,2009,34736.325,0,2488.657,3415.111,106.893,0,0,2751.498,0,0,0,183.125,1445.3604,0,0,140.624,0,0,10.45554125,0.098315265,0.041609479,2.82,5504838,1023553,0.3045,9647028.4,9.425040423,-4142190.4,-4.046874368,0,2,8,0,0,0,3.662556,71.0301297
CVS,6/6/2005,6.29090741,7.15567725,7.25931493,102030,6/27/2001,2001,6,1440,7.2723985,110,2005,2005,7241,12/31/2005,2005,15283.4,1495.4,8222.6,1594.1,589.1,1935.7,2019.5,37006.2,0,591,3808.8,0,21514.0174,5912,12,3060.7,748.1,1454.7,-225.9,12624.9,9.634522551,0.104302708,1.407672206,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.06,3234700,405028,0.1246,2111646.667,5.213581942,1123053.333,2.772779495,0,0,0,0,0,0,3.6675601,81.8746327
BMY,3/2/2006,-0.606583,-0.1788873,-0.2255731,101412,4/19/2000,2000,3,2143,7.6699619,185,2006,2006,2403,12/31/2006,2006,25575,785,9991,7248,927,7248,2680,17914,-326,741,3806,0,51771.44,2834,12,5393,-1587,4015,3668,2215,10.14937059,0.28340176,2.024298729,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.75,5165400,1956521,-0.1626,8359535.833,4.272653262,-3194135.833,-1.632558932,0,40,41,1,1,0,3.8409219,68.5228049
BMY,8/18/2009,4.8320349,2.29895314,2.38382244,103782,8/8/2006,2006,8,1106,7.0085053,125,2009,2009,2403,12/31/2009,2009,31008,730,14843,6130,647,6278,5266,18808,-132,885,7645,0,43278.5,2834,12,8053,-408,4424,4706,-2690,10.34200051,0.197690918,1.395720459,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2006,25575,785,9991,7248,927,7248,2680,17914,-326,741,3806,0,51771.44,5393,-1587,4015,3668,2215,10.14937059,0.28340176,2.024298729,21.77,9571300,1980925,1.0146,14387455.83,7.262998767,-4816155.833,-2.431266117,0,20,48,1,1,0,2.660688,69.6335305
LMT,2/15/2013,2.83875359,4.12389104,4.13766224,104750,7/21/2009,2009,2,1305,7.1739583,19.5,2013,2013,6774,12/31/2013,2013,36188,836,4918,6152,942,6152,4583,45358,0,787,2209,0,47422.54,3760,12,1700,509,4244,3393,3608,10.49648285,0.170001105,1.31044932,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2009,35111,852,4129,5052,1006,5052,4224,45189,0,986,1774,0,28105.55,141,1633,4649,1759,4262,10.46626975,0.143886531,0.800477058,87.87,2564600,323587,-0.1045,1780821.667,5.503378277,783778.3333,2.422156432,0,25,46,1,1,0,8.8591304,83.1707037
NEM,10/20/2006,8.27552947,22.42343913,21.66203908,103454,4/26/2005,2005,10,542,6.2952662,15,2006,2006,7881,12/31/2006,2006,15601,1551,9337,1752,636,1911,1271,4987,-21.538,403,903,0,19202.3631,1040,12,1686,-783,977,736,33.144,9.655090294,0.112300494,1.230841811,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2005,13992,1226,8376,1733,644,1929,977,4406,-27.692,296,1686,0,22412.0666,1620.144,65.856,1208.302,33.144,-388.058,9.546241017,0.123856489,1.601777201,42.46,5907700,420917,0.12,7178907.5,17.05539928,-1271207.5,-3.020090659,0,14,42,1,1,0,3.5095512,71.0092883
CMS,5/22/2007,-0.4364426,-2.7371839,-2.8294948,102429,5/10/2002,2002,5,1838,7.5164332,200,2007,2007,3439,12/31/2007,2007,14196,1263,2130,5788,540,0,-39,6464,0,14,407,396,3912.238,4931,12,987,-580,1,-196,706,9.560715514,0.407720485,0.275587349,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.84,1821900,224177,-0.0643,2054000.067,9.16240322,-232100.0667,-1.035342906,0,6,9,1,0,0,3.4292958,93.0606376
TXT,2/21/2006,6.8823001,3.60359278,3.74925079,102409,9/26/2001,2001,2,1609,7.383368,7,2006,2006,10519,12/31/2006,2006,17550,431,2639,5685,290,6842,1413,11490,0,175,0,0,11777.1369,3721,12,0,0,1146,0,0,9.772809229,0.323931624,0.671061932,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.17,563900,132372,-0.3271,809715.8333,6.116972119,-245815.8333,-1.857007776,0,12,56,1,1,0,4.9834743,64.433149
XEL,1/14/2005,1.80281515,2.47395926,2.46571774,102526,7/26/2002,2002,1,903,6.8057227,80,2005,2005,7977,12/31/2005,2005,21648.316,1289.817,5395.255,5897.789,767.321,0,1092.719,9625.477,0,10.625,-530.965,0,7446.524,4931,12,235.246,-766.211,1090.841,1325.809,234.99,9.982682947,0.272436387,0.343977056,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.95,1356300,400340,0.6005,1026469.167,2.563993522,329830.8333,0.823876788,0,8,44,1,1,0,4.4120663,52.1801167
WR,5/31/2005,3.49611892,-4.1528146,-4.4018505,102675,12/26/2002,2002,5,887,6.7878451,30,2005,2005,6338,12/31/2005,2005,5210.069,212.814,1416.003,1562.99,150.52,0,300.728,1583.278,0,0.772,-74.447,107.8,1866.9525,4931,12,-2.634,-71.813,289.891,309.475,3963.445,8.558348378,0.299994108,0.358335465,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.07,487400,86620,-0.6073,368735.8333,4.256936427,118664.1667,1.369939583,0,4,17,1,1,0,3.1663384,64.6172467
DQE,7/15/2005,1.26849796,0.63475167,0.61504926,102070,4/30/2001,2001,7,1537,7.3375878,12,2005,2005,4103,12/31/2005,2005,2820.6,135.9,655.9,957.8,82.3,0,178.3,922.2,0,34.7,-24.6,0,1272.8621,4911,12,10.6,-35.2,159,125.2,778.807,7.944704907,0.33957314,0.451273523,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.01,280700,77543,0.1158,359256.6667,4.632999325,-78556.66667,-1.013072317,0,2,0,0,0,0,5.963693,59.392519
ILA,11/18/2005,1.13959983,2.52255852,2.46073002,102427,12/3/2001,2001,11,1446,7.2765565,1,2005,2005,11056,12/31/2005,2005,4630.7,228.9,1309.9,1891.2,106.4,0,-6.9,1314.2,0,28.8,349.5,0,1344.9708,4931,12,694.4,-344.9,-137,186.7,-2084.6,8.440463324,0.408404777,0.290446542,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,1038600,373270,0.4401,1910729.167,5.118892937,-872129.1667,-2.336456631,0,2,14,0,1,0,4.5646295,73.1192469
IRF,9/25/2009,-0.0997435,-10.8711923,-11.3294253,103745,4/9/2007,2007,9,900,6.8023949,90,2009,2009,6109,6/30/2009,2009,1401.307,20.793,1135.252,0,68.411,0,-105.131,721.719,-45,7.791,552.844,0,1054.3535,3674,6,517.61,35.234,-80.813,-100.538,-182.808,7.245160652,0,0.752407217,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2008,1874.912,41.78,1450.951,0,87.59,0,-80.813,984.83,0,92.192,517.61,0,1398.2592,461.997,55.613,124.587,-182.808,415.478,7.536317004,0,0.745773242,18.93,634600,71215,-0.6091,676918.3333,9.505277446,-42318.33333,-0.594233425,0,0,0,0,0,0,5.3024513,79.3193666
XRX,3/27/2008,5.38308441,-1.9029171,-2.0368254,101711,7/27/2000,2000,3,2800,7.9373746,670,2008,2008,11636,12/31/2008,2008,22447,206,6238,7422,663,8971,1727,17608,-774,194,2700,0,6892.2727,7374,12,4463,-1763,2001,3753,1907,10.01891225,0.330645521,0.307046496,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.97,6742000,917568,-1.146,5194575.1,5.661242654,1547424.9,1.686441659,0,22,49,1,1,0,4.8523068,83.2387059
FLS,12/18/2009,0.54685156,-6.2604885,-6.5496981,102861,9/27/2002,2002,12,2639,7.8781552,55,2009,2009,4108,12/31/2009,2009,4248.894,108.448,1796.113,539.373,95.257,566.728,684.88,4365.262,-7.5,38.067,1041.239,0,5194.9907,3561,12,724.429,316.81,595.909,316.812,358.298,8.354413993,0.12694433,1.222668935,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.3,907200,55849,0.583,997813.3333,17.86627036,-90613.33333,-1.622470113,0,1,9,0,0,0,2.4966194,89.2663186
WFT,1/29/2014,-6.0668052,4.44920551,3.99242677,104656,3/1/2011,2011,1,1065,6.9707303,52.5,2014,2014,4367,12/31/2014,2014,18889,1450,6958,6798,1371,6848,1134,14911,0,386,3917,0,8862.3,1381,12,3075,842,615,-173,244,9.846335021,0.359892001,0.469177828,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2011,21051,1524,9324,6286,1137,6595,1470,12988,0,291,3448,0,10965.36,3909.088,-461.088,976.092,1253.088,130.909,9.954703344,0.298608142,0.520894969,13.82,15031500,769395,-1.0209,6945516.667,9.02724435,8085983.333,10.50953455,0,49,73,1,1,0,6.0573888,67.8984693
NR,7/27/2007,-33.5044946,-21.1168905,-16.2773369,103607,4/16/2006,2006,7,467,6.1463294,9.24,2007,2007,7882,12/31/2007,2007,641.779,17.036,360.664,158.616,19.285,177.478,57.512,612.764,-1.6,0,282.9,0,491.6772,5160,12,217.723,65.177,67.031,0,-0.972,6.464244008,0.247150499,0.766116062,ACCOUNTING (OPTION DATING IN THE AMENDED COMPLAINT),1,0,0,0,0,2006,627.669,36.391,323.143,198.186,25.449,213.332,67.031,668.199,5.174,3.846,217.723,0,646.5568,164.508,53.215,48.067,-0.972,19.27,6.442012957,0.315749225,1.030091975,6.71,412000,89903,-1.5992,587809.1333,6.538259383,-175809.1333,-1.955542455,0,0,12,0,1,0,5.5417056,94.2296064
FITB,12/20/2012,9.06613366,4.79963002,5.07572639,104051,6/17/2008,2008,12,1647,7.4067106,16,2012,2012,4640,12/31/2012,2012,121894,0,13318,5808,432,0,0,6834,0,0,0,287,13408.7104,6020,12,0,0,2982,0,0,11.71090709,0.047647956,0.110003039,CREDIT CRISIS (FINANCIAL INSTITUTION),0,0,1,0,0,2008,119764,0,7836,10785,0,0,0,8539,0,0,0,557,4769.2166,0,0,2924,0,0,11.69327842,0.090052102,0.039821788,15.14,8786109,897467,0.5488,9425076.642,10.50186429,-638967.6417,-0.71196784,0,24,109,1,1,0,2.3073754,74.9901456
PLL,4/26/2012,-2.6743576,3.30305582,3.16008881,103800,8/2/2007,2007,4,1729,7.4552984,22.5,2012,2012,8304,7/31/2012,2012,3347.892,158.909,1510.035,490.706,103.387,491.159,453.945,2671.656,0,90.806,1000.329,0,6098.7811,3569,7,1019.201,-18.872,472.266,326.489,362.779,8.116086173,0.146571634,1.821677969,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2007,2708.846,97.763,1060.601,591.591,93.977,593.362,313.796,2249.905,0,48.825,774.187,0,5088.1099,846.165,-71.978,247.346,333.163,39.392,7.904277993,0.21839226,1.878331179,59.45,583800,115799,0.668,911650.8333,7.872700398,-327850.8333,-2.831206084,0,5,7,1,0,0,2.982416,91.1520626
TE,6/28/2007,-0.350874,5.97952204,5.80586981,103221,2/4/2003,2003,6,1605,7.3808789,17.35,2007,2007,10277,12/31/2007,2007,6765.2,489.9,2017,3158.4,263.7,0,415.3,3536.1,0,-10.5,172.2,0,3629.589,4931,12,-64.7,236.9,397.5,-37.3,627.3,8.819547104,0.466859812,0.536508751,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1114141,209621,-0.0418,1035031.967,4.937634906,79109.03333,0.377390783,0,0,17,0,1,0,4.856877,53.7779249
BEN,6/9/2011,-1.9248993,2.03010586,1.92115803,102988,2/4/2004,2004,6,2682,7.8943181,2.75,2011,2011,4885,9/30/2011,2011,13775.843,0,8524.731,2083.926,82.4,0,0,7138.567,0,0,0,0,0,6282,9,0,0,1960.575,0,0,9.53067183,0.151273937,0,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),0,1,0,0,0,2004,8228.135,0,5106.784,1161.413,79.153,0,0,3527.239,0,0,0,0,13922.1568,2613.043,0,361.319,0,-314.76,9.015314658,0.141151427,1.692018519,123.47,795800,221872,0.7378,976294.1667,4.400258557,-180494.1667,-0.813505835,0,7,19,1,1,0,3.996572,48.5816211
WMB,10/5/2006,8.56890694,2.78693562,2.7706669,102331,1/29/2002,2002,10,1710,7.4442487,290,2006,2006,11506,12/31/2006,2006,25402.4,2509.2,6073.2,7622,865.5,8014.1,1233.2,11812.9,-246.8,79,1628.4,0,15596.252,4922,12,1247.1,381.3,1269.6,-870.8,131.2,10.14259894,0.300050389,0.613967657,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.68,6345600,595800,0.2222,4363300.833,7.32343208,1982299.167,3.327121797,0,1,10,0,0,0,2.1336229,72.8495013
S,10/14/2010,3.26087197,1.34091176,1.21943347,103347,11/16/2004,2004,10,2158,7.6769371,0.55,2010,2010,10984,12/31/2010,2010,51654,1935,14546,18535,6248,20191,-615,32563,0,-139,1989,0,12491.19,4812,12,1808,181,-1044,3656,4980,10.85232292,0.358829907,0.241824254,FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0,2004,41321,3980,13521,15916,4720,17204,3414,27428,14,-39,3073,0,36648.78,-7067,10140,10274,-5947,0,10.62912612,0.385179449,0.88692868,4.56,27806800,2949525,-0.3641,56513708.33,19.16027439,-28706908.33,-9.732722501,0,0,12,0,1,0,5.3330543,86.8579748
S,9/14/2006,0.79486231,17.02230358,15.91731581,102590,10/17/2002,2002,9,1428,7.26403,215,2006,2006,10984,12/31/2006,2006,97161,7556,53131,21011,9592,22154,3104,41028,0,247,506,0,54724.33,4812,12,5042,-4536,4670,9429,3775,11.48412468,0.216249318,0.563233499,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.03,13472400,2870000,-0.1358,17214710.83,5.998157085,-3742310.833,-1.303941057,0,1,41,0,1,0,2.5702666,86.2033295
WEDC,10/6/2006,5.208333,8.7175026,8.70567778,103171,6/9/2004,2004,10,849,6.7440591,5.7,2006,2006,2345,9/30/2006,2006,130.508,4.06,110.18,0,4.16,0,7.18,108.928,0,4.649,89.576,0,121.1736,3674,9,81.841,7.735,8.989,-5.104,-0.268,4.871434528,0,0.928476415,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2005,121.268,3.509,104.22,0,4.067,0,8.989,117.031,0,1.653,81.841,0,124.6185,73.679,8.162,7.14,-0.268,3525.411,4.798002972,0,1.027628888,4.99,77725,24381,-0.269,65109.29167,2.670493075,12615.70833,0.517440151,0,0,4,0,0,0,9.8042669,45.6806298
DBD,11/8/2013,11.30980486,12.06975712,12.48871239,104509,1/15/2008,2008,11,2124,7.6610565,31.6,2013,2013,3946,12/31/2013,2013,2183.491,35.447,596.764,480.242,71.04,480.242,122.359,2857.491,-17.245,76.48,661.614,0,2114.8847,3578,12,976.002,-314.388,157.447,395.86,61.11,7.688680251,0.219942285,0.968579536,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2008,2537.936,57.932,946.601,606.488,69.627,606.488,267.342,3170.08,0,30.747,878.721,0,1857.1704,879.894,-1.173,168.924,249.463,267.261,7.839106431,0.238968989,0.731764079,29.39,446800,78343,1.3428,732512.5,9.350069566,-285712.5,-3.646943569,0,5,10,1,0,0,4.7518682,63.5391777
HELE,1/16/2008,11.21433757,12.246697,10.12186679,103539,10/10/2005,2005,1,828,6.7190132,4.5,2008,2008,5572,2/29/2008,2007,911.993,7.709,568.376,212,13.669,215,73.924,652.548,0,24.692,276.304,0,479.6213,3634,2,238.131,38.173,70.416,17.019,15.566,6.815632315,0.232457925,0.525904585,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2004,811.449,286.263,420.527,260,7.757,270,102.024,581.549,0,4.395,156.312,0,845.1122,0,0,152.4,0,0,6.698821538,0.320414468,1.041485294,16.43,484422,30148,-0.5612,269948.1417,8.95409784,214473.8583,7.114032716,0,4,8,1,0,0,5.1020873,80.8515975
HRLY,7/2/2010,10.20699007,9.81147054,10.14921265,103628,6/14/2006,2006,7,1479,7.2991214,10,2010,2010,5594,7/31/2010,2010,226.614,5.311,158.984,12.318,6.938,14.97,21.609,188.123,-11.875,-3.57,87.607,0,213.2215,3812,7,81.108,6.499,3.845,20.307,22.235,5.42324813,0.054356748,0.94090171,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2006,251.45,6.227,203.47,5.948,6.996,6.578,13.381,176.268,0,3.407,92.088,0,148.7393,88.343,3.745,14.929,6.998,56.463,5.527244163,0.023654802,0.591526347,14.92,123767,13682,-0.4662,40648.51667,2.970948448,83118.48333,6.075024363,0,10,31,1,1,0,18.1909231,70.3818521
FRX,12/23/2008,9.20449429,-2.1131003,-2.2451844,103394,9/1/2004,2004,12,1574,7.3613753,65,2008,2008,4843,3/31/2008,2007,4525.367,34.888,3715.317,0,86.667,0,1092.37,3718.302,0,226.022,2296.679,0,12459.3941,2834,3,1795.109,501.57,1103.326,416.557,1016.511,8.417453958,0,2.753233959,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.43,1878000,301380,-0.9717,3175002.5,10.53488121,-1297002.5,-4.303545358,0,6,24,1,1,0,5.9289155,88.8945776
