Litigation Name ,Filing Date ,Class Start Date ,Class End Date ,Nature of Case  ,Status,Case Status Date ,Accounting,Secondary Market & Trading,Financial Intermediatary,Non-Accounting disclsoure and misrepresentation,Others
Tower Semiconductor Ltd.,6/21/1996,5/25/1995,6/10/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,6/1/1999,0,0,0,1,0
Putnam Convertible Opportunities and Income Trust,6/25/1996,6/26/1995,6/25/1996,IPO-NON ALLOCATION,DISMISSED,4/27/1998,0,0,1,0,0
"ProNet, Inc.",6/27/1996,5/30/1996,6/24/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/21/1997,0,0,0,1,0
"Presstek, Inc.",6/28/1996,2/27/1996,6/17/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,6/26/2000,1,0,0,0,0
"Manhattan Bagel Company, Inc.",7/2/1996,5/13/1996,6/20/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,12/28/2000,0,0,0,1,0
"The Italian Oven, Inc.",7/2/1996,11/21/1995,6/24/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,6/29/1998,0,0,0,1,0
"International Automated Systems, Inc.",7/3/1996,5/13/1996,6/28/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,7/19/1999,0,0,0,1,0
Ivax Corporation,7/3/1996,2/26/1996,6/27/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,8/17/2000,1,0,0,0,0
"Oak Technology, Inc.",7/9/1996,10/26/1995,5/22/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,2/29/2000,0,0,0,1,0
"Ernst Home Centers, Inc.",7/16/1996,9/27/1994,1/26/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,4/10/1997,1,0,0,0,0
"FMR Corporation, Fidelity Management & Research Company and Fidelity Magellan Fund : Micron Technology Inc. Stock",7/17/1996,10/4/1995,11/30/1995,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,7/25/1997,0,0,0,1,0
"Factory Stores of America, Inc.",7/19/1996,12/16/1993,4/17/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,11/6/1997,1,0,0,0,0
CompuServe Corporation,7/22/1996,4/18/1996,7/16/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,3/26/1998,1,0,0,0,0
"Diamond Multimedia Systems, Inc.",7/24/1996,11/1/1995,6/20/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,1/9/2002,0,0,0,1,0
"Integrated Communication Network, Inc.",7/24/1996,6/29/1995,8/31/1995,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,1/5/1998,0,0,0,1,0
"Fritz Companies, Inc.",7/31/1996,8/28/1995,7/23/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,9/2/2003,1,0,0,0,0
"General Nutrition Companies, Inc.",8/2/1996,2/7/1996,5/28/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,9/7/1999,0,0,0,1,0
Micrion Corporation,8/2/1996,4/26/1996,6/21/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,5/31/2001,0,0,0,1,0
"Summit Technology, Inc.",8/2/1996,5/12/1995,7/3/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/25/2001,0,0,0,1,0
Stratosphere Corporation,8/5/1996,12/19/1995,7/22/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,12/4/2000,0,0,0,1,0
"Comshare, Inc.",8/9/1996,4/17/1996,8/6/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,9/17/1999,1,0,0,0,0
United HealthCare Corporation (1996),8/9/1996,10/3/1995,7/10/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,12/17/1996,0,0,0,1,0
Amsouth Bancorporation,8/12/1996,1/1/1993,8/12/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,2/20/1998,0,0,0,1,0
Foxmeyer Health Corporation,8/12/1996,7/19/1995,7/1/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,12/30/2003,0,0,0,1,0
Madge Networks N.V.,8/13/1996,10/12/1995,6/13/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,4/19/2002,0,0,0,1,0
Pepsi Cola Puerto Rico Bottling Company,8/14/1996,2/13/1996,8/12/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/15/1997,1,0,0,0,0
"Northern Trust Bank of California : Wheatley Ventures, Inc. Notes of the Partnership",8/15/1996,8/20/1993,8/15/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,12/29/1997,0,0,0,1,0
Proxima Corporation,8/16/1996,7/26/1994,8/17/1995,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/27/1998,0,0,0,1,0
Medaphis Corporation,8/19/1996,3/13/1996,8/14/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/29/1998,0,0,0,1,0
"Nutrition for Life International, Inc.",8/19/1996,7/11/1995,7/16/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/15/1997,0,0,0,1,0
"Housecall Medical Resources, Inc.",8/30/1996,4/4/1996,8/28/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/16/1999,1,0,0,0,0
Quantum Corporation,8/30/1996,2/26/1996,6/13/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,7/27/1999,0,0,0,1,0
"Grand Casinos, Inc.",9/9/1996,12/19/1995,7/22/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,8/17/2001,0,0,0,1,0
Brauvin Partnerships,9/18/1996,8/23/1996,9/18/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/9/2002,0,0,0,1,0
"Physician Reliance Network Inc. and Texas Oncology, P.A.",9/18/1996,2/12/1996,7/11/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/19/1997,1,0,0,0,0
Buenos Aires Embotelladora S.A. : Bonds and American Depositary Shares,9/30/1996,11/16/1995,7/2/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/9/1998,0,0,0,1,0
"IMP, Inc.",10/1/1996,4/24/1996,7/22/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,10/29/1998,1,0,0,0,0
"Micro Warehouse, Inc.",10/1/1996,3/26/1995,9/27/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,6/10/1998,1,0,0,0,0
"Performance Nutrition, Inc.",10/1/1996,3/8/1994,9/4/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,11/6/1998,0,0,0,1,0
4987 Corporation and 498 Seventh Avenue Associates : Garment Capitol Associates,10/4/1996,4/30/1994,7/26/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,7/2/2002,0,0,0,1,0
"MobileMedia Communications, Inc.",10/4/1996,8/2/1995,9/27/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,2/24/2000,0,0,0,1,0
Solv-Ex Corporation,10/4/1996,2/15/1995,9/30/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,7/7/2003,0,0,0,1,0
"Network Express, Inc.",10/7/1996,3/13/1995,10/6/1995,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,3/5/1998,0,0,0,1,0
"Identix, Inc.",10/8/1996,1/31/1996,8/26/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,3/10/1998,1,0,0,0,0
Lincoln National Bank,10/8/1996,5/17/1996,9/14/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/11/2001,0,0,0,1,0
Paracelsus Healthcare Corporation,10/15/1996,8/13/1996,10/11/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/23/1999,1,0,0,0,0
"Sterling Foster & Company Inc. : Advanced Voice Technologies, Inc.; Comtech Communication Technologies, Inc.; Embryo Development Corporation; Applewoods, Inc.; ML Direct, Inc.; Lasergate Systems, Inc.",10/15/1996,2/6/1995,10/8/1996,BROKER-MARKET MANIPULATION,SETTLED,12/21/2007,0,1,0,0,0
Digital Link Corporation,10/17/1996,9/12/1994,12/29/1995,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/9/2000,1,0,0,0,0
"DAKA International, Inc.",10/18/1996,10/30/1995,9/9/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/30/1998,0,0,0,1,0
Pacific Scientific Company,10/18/1996,10/3/1994,7/2/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,5/5/1999,0,0,0,1,0
Home Link Corporation,10/21/1996,2/22/1996,6/10/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,6/27/2000,1,0,0,0,0
"Cree Research, Inc.",10/25/1996,2/1/1996,7/2/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,10/17/1997,0,0,0,1,0
"Metal Recovery Technologies, Inc. (f/k/a Malvy Technology Inc.)",10/31/1996,11/1/1993,5/24/1995,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,5/26/2000,0,0,0,1,0
Glenayre Technologies Inc.,11/1/1996,1/4/1996,9/13/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,1/13/2000,1,0,0,0,0
Chemical Investment Services Corporation,11/6/1996,11/10/1995,5/9/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,12/30/1997,0,0,0,1,0
Dominion Bridge Corporation : Cedar Group Inc. common stock,11/12/1996,4/20/1995,5/18/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,4/11/2007,1,0,0,0,0
"DonnKenny, Inc.",11/12/1996,2/14/1995,11/6/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/14/2000,1,0,0,0,0
"Individual, Inc.",11/13/1996,3/15/1996,7/24/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,4/23/1999,1,0,0,0,0
Hallwood Energy Corporation,11/15/1996,10/15/1996,11/15/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,1/19/2000,0,0,0,1,0
"Rockefeller Center Properties, Inc.",11/15/1996,2/8/1996,2/14/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,6/7/2004,0,0,0,1,0
"RISCORP, Inc.",11/20/1996,2/28/1996,11/14/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/1/1999,0,0,0,1,0
"CAI Wireless Systems, Inc.",11/22/1996,5/23/1996,10/29/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/3/1999,0,0,0,1,0
Wonderware Corporation,11/26/1996,8/30/1995,12/8/1995,ACQUISITION RELATED FRAUD,SETTLED,11/10/1998,0,0,0,0,0
"Teletek, Inc.",12/2/1996,11/22/1993,11/7/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,2/10/2003,0,0,0,1,0
Open Environment Corporation,12/5/1996,4/13/1995,10/10/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,6/25/1999,0,0,0,1,0
"Dignity Partners, Inc.",12/19/1996,2/14/1996,7/16/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,2/29/2000,0,0,0,1,0
Casino Data Systems,12/24/1996,2/7/1996,12/16/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/13/1999,0,0,0,1,0
"Access HealthNet, Inc.",12/27/1996,1/25/1995,12/29/1995,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,1/22/2001,0,0,0,1,0
"Digi International, Inc.",1/3/1997,1/25/1996,12/23/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,10/10/2001,1,0,0,0,0
"VSI Enterprises, Inc. : Common Stock and Class B Warrants",1/3/1997,10/6/1995,1/8/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,8/19/1997,0,0,0,1,0
"U.S. Diagnostic, Inc.",1/6/1997,3/15/1996,12/23/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/23/1998,0,0,0,1,0
Symantec Corporation,1/7/1997,6/9/1995,1/8/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,11/16/2012,1,0,0,0,0
"System Software Associates, Inc.",1/9/1997,9/15/1994,1/7/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,8/27/2002,0,0,0,1,0
"NetManage, Inc.",1/10/1997,7/25/1995,1/11/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/13/2000,0,0,0,1,0
"AutoNation, Inc. (f/k/a Republic Industries, Inc.)",1/17/1997,12/16/1996,1/17/1997,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,3/24/1997,0,0,0,1,0
Read-Rite Corporation 1997,1/17/1997,4/19/1995,1/22/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,7/29/2003,0,0,0,1,0
"Sunglass Hut International, Inc.",1/23/1997,3/21/1996,10/10/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/3/2001,1,0,0,0,0
"Theta Group, LLC : Membership Interests",1/27/1997,10/1/1995,11/26/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,7/21/2000,0,0,0,1,0
Florida Panthers Holdings Inc.,1/28/1997,11/13/1996,12/22/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,10/8/1999,0,0,0,1,0
"Northeast Utilities, Inc.",1/29/1997,4/5/1994,4/4/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,7/25/2000,0,0,0,1,0
Mercury Finance Company of Illinois,1/30/1997,1/30/1994,1/29/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,2/25/1999,0,0,0,1,0
"Sigma, Inc.",1/30/1997,10/1/1992,4/11/1995,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/2/2007,0,0,0,1,0
"Centennial Technologies, Inc.",2/11/1997,8/21/1996,2/10/1997,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,9/12/2012,1,0,0,0,0
"Molten Metal Technology, Inc.",2/12/1997,9/26/1995,10/21/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,8/6/2001,0,0,0,1,0
Conrail Inc.,2/18/1997,10/15/1996,10/22/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,9/25/1997,0,0,0,1,0
Westinghouse Electric Corporation,2/19/1997,3/29/1990,10/22/1991,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/21/1999,0,0,0,1,0
Mobile Telecommunication Technologies Corporation,2/20/1997,1/19/1995,2/22/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/9/1998,0,0,0,1,0
"America Online, Inc.",2/24/1997,8/10/1995,10/29/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/17/1998,1,0,0,0,0
"Bay Networks, Inc.",2/28/1997,7/25/1995,10/14/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,8/31/2001,0,0,0,1,0
"Olympic Financial, Ltd.",3/4/1997,11/28/1994,2/6/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/11/2001,0,0,0,1,0
"Citrix Systems, Inc.",3/7/1997,1/20/1997,2/26/1997,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,11/13/1997,0,0,0,1,0
"Summit Medical Systems, Inc.",3/10/1997,8/4/1995,3/3/1997,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,1/18/2001,1,0,0,0,0
"Ride, Inc.",3/14/1997,8/10/1995,12/30/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,3/8/1999,0,0,0,1,0
"Employee Solutions, Inc.",3/17/1997,3/7/1996,3/14/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,3/17/1999,0,0,0,1,0
"Health Management Systems, Inc.",3/17/1997,5/28/1996,2/25/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,8/23/2000,0,0,0,1,0
"Consolidated Delivery & Logistics, Inc.",3/19/1997,11/21/1995,2/27/1997,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,2/11/1999,1,0,0,0,0
Unison HealthCare Corporation,3/20/1997,5/14/1996,3/10/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/29/1999,0,0,0,1,0
Insignia Solutions PLC,3/24/1997,11/14/1995,2/26/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/27/1998,0,0,0,1,0
"WebSecure, Inc.",3/26/1997,12/5/1996,2/27/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/17/1999,0,0,0,1,0
Bre-X Minerals Ltd. and Bresea Resources Ltd.,3/28/1997,1/17/1994,3/27/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/30/2004,0,0,0,1,0
Manchester Equipment Co.,3/28/1997,11/26/1996,2/13/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,6/17/1998,0,0,0,1,0
United Petroleum Corporation,3/31/1997,5/1/1996,1/16/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,5/21/2001,0,0,0,1,0
FileNet Corporation,4/1/1997,10/19/1995,7/2/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,9/24/1998,0,0,0,1,0
"Craig Consumer Electronics, Inc.",4/2/1997,5/21/1996,3/10/1997,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/1/1999,1,0,0,0,0
FHP International Corporation,4/2/1997,11/21/1996,2/14/1997,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,4/24/2003,0,0,0,1,0
"Health Management, Inc. II",4/3/1997,9/15/1996,3/17/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,12/2/1999,0,0,0,1,0
Scholastic Corporation,4/7/1997,12/10/1996,2/20/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/8/2003,0,0,0,1,0
Columbia HCA Healthcare Corporation,4/8/1997,4/8/1994,3/19/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,2/4/2004,0,0,0,1,0
"SS&C Technologies, Inc.",4/8/1997,5/31/1996,8/1/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/1/1999,0,0,0,1,0
Material Sciences Corporation,4/9/1997,4/18/1996,4/6/1997,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/3/2000,1,0,0,0,0
Informix Corporation,4/11/1997,12/2/1996,4/1/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/2/1999,0,0,0,1,0
"Nellcor Puritan Bennett, Inc.",4/14/1997,9/29/1995,4/16/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,5/4/1998,0,0,0,1,0
"NAL Financial Group, Inc.",4/16/1997,4/2/1996,4/2/1997,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,10/6/1998,0,0,0,1,0
"Sears, Roebuck & Co.",4/16/1997,4/16/1994,4/16/1997,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,8/11/1998,0,0,0,1,0
Olsten Corporation,4/17/1997,5/31/1996,11/21/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,4/20/2004,1,0,0,0,0
Yes! Entertainment Corporation,4/17/1997,3/29/1996,12/12/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,9/23/1998,1,0,0,0,0
